username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesattd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
001 SAINT FERREOL|Stferreol1@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|328|1394|37.50|4.27|28.98|4.23|35.98|3.66|27.98|4.23|28.96|3.05|13.70|2.08|63|79|53|65|39|91|1538|188|8|7|326.3|1391.75
002 LE PONTET|avignonpontet2@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|632|2578|31.49|2.85|24.48|2.13|30.06|2.53|23.16|2.06|25.63|2.22|20.05|1.90|80|98|72|87|48|59|3671|541|23|23|2401.6|9445.88
003 VITROLLES|vitrolles3@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|478|1960|17.15|1.88|28.32|2.76|16.53|1.88|27.14|2.91|6.69|0.21|13.83|1.89|120|82|112|68|121|89|2033|352|20|20|2495|7105
004 AVANT CAP|avantcap4@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|653|2691|23.28|1.84|28.95|3.01|22.82|1.84|28.28|2.97|14.55|1.07|16.54|1.75|106|80|92|62|87|70|2707|334|14|14|916.3|4346.54
005 AIX EN PROVENCE|Aix5@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|612|2473|40.20|6.21|37.53|5.30|38.40|5.39|34.25|4.69|15.52|4.74|16.66|4.08|55|40|43|36|83|69|3782|498|44|43|3266.1|14441.91
006 AUBAGNE|Aubagne6@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|380|1654|38.68|12.11|38.45|8.34|37.63|11.32|36.70|7.86|36.84|11.32|36.22|7.86|59|37|45|30|24|18|4625|628|17|16|3819|10903.78
007 VILLARS|Villars7@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|693|2472|36.80|2.31|35.40|2.43|34.20|2.02|31.96|2.14|19.91|2.74|18.81|2.63|64|49|58|45|65|61|1838|188|43|41|3083.6|9529.65
009 PERPIGNAN|Perpignan9@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-31|666|3041|17.87|3.45|20.12|2.66|15.32|2.70|17.53|2.20|15.02|2.85|17.17|2.43|118|114|117|104|84|65|4467|650|24|24|1611.7|10329.39
010 ANNECY|Annecy10@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|725|2998|34.07|6.76|38.59|6.30|32.28|5.93|35.16|5.84|31.31|6.34|33.79|6.14|72|35|65|34|36|23|5722|734|65|62|5201.5|17837.62
012 TOULON GRAND VAR|Toulonvar12@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|601|2629|26.12|13.64|27.88|10.46|25.46|13.14|26.74|9.93|3.99|3.00|4.26|3.20|93|84|81|71|129|127|3030|298|13|13|1225.2|4887.91
