username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesaytd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
001 SAINT FERREOL|Stferreol1@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|337|1731|54.01|0.00|33.91|3.35|50.74|0.00|32.47|3.35|39.47|0.59|18.78|1.79|34|66|31|53|26|67|1585|235|706|11|980|2797.22
002 LE PONTET|avignonpontet2@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|662|3240|33.38|0.15|26.39|1.73|30.97|0.60|24.85|1.76|27.49|0.45|21.67|1.60|93|100|87|88|54|58|3717|588|1821|35|3618.3|13395.77
003 VITROLLES|vitrolles3@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|513|2473|22.42|0.39|27.13|2.26|21.83|0.39|26.08|2.39|7.02|0.58|12.45|1.62|115|96|106|81|121|96|2046|401|1001|12|1690.4|8122.1
004 AVANT CAP|avantcap4@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|700|3391|20.57|0.14|27.31|2.42|19.43|0.14|26.54|2.39|16.14|0.00|16.54|1.39|121|94|116|78|94|80|2735|477|1368|22|1587.5|6588.04
005 AIX EN PROVENCE|Aix5@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|666|3139|40.09|0.75|38.10|4.30|37.69|0.75|35.01|3.82|13.66|0.90|16.06|3.41|77|48|64|44|103|83|3827|542|1872|56|6310.1|20848.13
006 AUBAGNE|Aubagne6@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|436|2090|52.52|1.38|41.39|6.89|50.23|1.38|39.52|6.51|49.54|1.38|39.00|6.51|38|41|33|27|12|14|4667|658|1686|33|4792.6|14618.52
007 VILLARS|Villars7@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|607|3079|35.26|0.16|35.37|1.98|31.96|0.16|31.96|1.75|17.13|1.15|18.51|2.31|90|61|83|54|90|68|1875|278|1201|39|3461.3|11961.33
009 PERPIGNAN|Perpignan9@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|812|3853|20.81|0.99|20.30|2.31|17.12|0.74|17.47|1.89|16.87|0.74|17.13|2.08|119|117|118|112|91|76|4496|679|1697|32|3767.4|15347.57
010 ANNECY|Annecy10@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|712|3710|40.17|0.56|38.89|5.15|35.96|0.56|35.34|4.77|33.85|1.12|33.83|5.12|76|45|71|42|40|26|5786|779|2305|48|3476.6|18605.25
012 TOULON GRAND VAR|Toulonvar12@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|673|3302|38.93|0.45|30.13|8.33|36.26|0.59|28.68|7.93|5.65|1.04|4.54|2.76|81|86|70|68|126|129|3044|402|1222|25|1535.7|7335.99
013 NICE LINGOSTIERE|nicelingostiere13@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|387|2075|32.30|0.52|30.41|3.61|30.49|0.52|28.67|3.47|24.55|0.78|26.89|3.71|95|83|91|69|63|39|2123|388|1038|22|1137|8341.65
014 NICE TNL|nicetnl14@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|553|2544|34.36|0.00|21.93|2.48|30.92|0.00|20.13|2.36|30.56|0.00|19.50|2.24|91|112|89|102|49|63|2540|342|892|28|2244.1|7139.7
016 SAINT PRIEST|stpriest16@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|598|3117|70.23|0.67|56.91|5.45|61.87|0.84|52.68|5.00|58.53|1.51|49.31|6.87|6|6|12|5|5|4|4824|830|2531|60|5622.6|21921.11
017 ECULLY|ecully17@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|824|4012|31.67|0.12|25.02|1.12|28.52|0.12|22.46|1.07|17.84|0.12|16.72|1.02|96|103|95|98|85|78|2042|305|1207|28|2170.5|11351.8
